file_name,n,unitid,opeid,opeid6,instnm,control,stabbr,st_fips,region,preddeg,ccbasic,locale,iclevel,ccugprof,ccsizset,menonly,womenonly,age_entry,openadmp,relaffil,numbranch,ugds,hbcu,pbi,annhi,tribal,aanapii,hsi,nanti,adm_rate,main,pctpell,ugds_men,ugds_women,npt4_pub,npt4_priv,npt4_prog,npt4_other,debt_mdn,rpy_7yr_rt,md_earn_wne_p6,md_earn_wne_p8,md_earn_wne_p10,gt_threshold_p10,c150_l4_pooled_supp,c150_4_pooled_supp
MERGED2003_04_PP.csv,6673,0,0,0,0,0,0,0,0,0,6673,6673,0,6673,6673,6673,6673,196,20,6673,0,312,6673,6673,6673,6673,6673,6673,6673,3788,0,6673,312,312,6673,6673,6673,6673,197,6673,484,6673,6673,6673,6673,6673
MERGED2005_06_PP.csv,6899,0,0,0,0,0,0,0,0,0,6899,6899,0,6899,6899,6899,6899,200,712,6899,0,511,6899,6899,6899,6899,6899,6899,6899,4076,0,6899,511,511,6899,6899,6899,6899,198,6899,509,654,6899,6899,6899,6899
MERGED2007_08_PP.csv,6971,0,0,0,0,1,0,0,0,0,6971,6971,1,6971,6971,6971,6971,165,680,6971,0,517,6971,6971,6971,6971,6971,6971,6971,4117,0,6971,517,517,6971,6971,6971,6971,146,6971,481,613,749,6971,6971,6971
MERGED2009_10_PP.csv,7217,0,0,0,0,0,0,0,0,0,7217,7217,0,7217,7217,7217,7217,135,756,7217,0,568,7217,7217,7217,7217,7217,7217,7217,4423,0,611,569,569,5532,5100,4968,6995,116,7217,522,665,803,7217,7217,7217
MERGED2011_12_PP.csv,7746,0,0,0,0,0,0,1,1,0,7746,7746,0,7746,7746,7746,7746,148,848,7746,0,639,7746,7746,7746,7746,7746,7746,7746,5384,0,697,639,639,5780,2994,7746,7746,88,7746,679,828,980,7746,7746,7746
MERGED2012_13_PP.csv,7862,0,0,0,0,0,0,0,0,0,7862,7862,0,7862,7862,7862,7862,184,938,7862,0,723,7862,7862,7862,7862,7862,7862,7862,5535,0,780,723,723,5927,3117,7862,7862,69,7862,857,857,857,7862,7862,7862
MERGED2013_14_PP.csv,7869,0,0,0,0,0,0,0,0,0,7869,7869,0,7869,7869,7869,7869,211,965,7869,0,728,7869,7869,7869,7869,7869,7869,7869,5628,0,765,728,728,5943,3095,7869,7869,55,1541,844,844,844,7869,7869,7869
MERGED2014_15_PP.csv,7766,0,0,0,0,0,0,0,0,0,7766,7766,0,7766,7766,7766,7766,220,946,7766,0,729,7766,7766,7766,7766,7766,7766,7766,5552,0,759,729,729,5853,3062,7766,7766,57,1528,815,815,815,7766,7766,7766
MERGED2018_19_PP.csv,6807,0,0,0,0,0,0,0,0,0,6807,6807,0,6807,6807,6807,6807,6807,926,6807,0,765,6807,6807,6807,6807,6807,6807,6807,4800,0,793,765,765,4929,3079,6807,6807,121,6807,1015,1214,1431,1712,6807,6807
MERGED2019_20_PP.csv,6694,0,0,0,0,0,0,0,0,0,6694,6694,0,6694,6694,6694,6694,6694,948,6694,0,792,6694,6694,6694,6694,6694,6694,6694,4706,0,843,795,795,4842,3102,6694,6694,134,6694,1012,1107,1350,1790,6694,6694
Most-Recent-Cohorts-Institution.csv,6484,0,26,26,0,0,0,0,0,0,495,495,0,495,495,495,495,529,900,5595,0,768,495,495,495,495,495,495,495,4528,0,813,768,768,4651,3052,6484,6484,186,1471,1057,1150,1367,1772,3386,4181
