variable,MERGED2003_04_PP.csv,MERGED2005_06_PP.csv,MERGED2007_08_PP.csv,MERGED2009_10_PP.csv,MERGED2011_12_PP.csv,MERGED2012_13_PP.csv,MERGED2013_14_PP.csv,MERGED2014_15_PP.csv,MERGED2018_19_PP.csv,MERGED2019_20_PP.csv,Most-Recent-Cohorts-Institution.csv
unitid,,,,,,,,,,,
opeid,,,,,,,,,,,
opeid6,,,,,,,,,,,
instnm,,,,,,,,,,,
control,,,,,,,,,,,
stabbr,,,,,,,,,,,
st_fips,,,,,,,,,,,
region,,,,,,,,,,,
preddeg,,,,,,,,,,,
ccbasic,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
locale,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
iclevel,,,,,,,,,,,
ccugprof,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
ccsizset,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
menonly,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
womenonly,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
age_entry,,,,,,,,,NO DATA,NO DATA,
openadmp,,,,,,,,,,,
relaffil,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
numbranch,,,,,,,,,,,
ugds,,,,,,,,,,,
hbcu,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
pbi,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
annhi,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
tribal,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
aanapii,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
hsi,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
nanti,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
adm_rate,,,,,,,,,,,
main,,,,,,,,,,,
pctpell,NO DATA,NO DATA,NO DATA,,,,,,,,
ugds_men,,,,,,,,,,,
ugds_women,,,,,,,,,,,
npt4_pub,NO DATA,NO DATA,NO DATA,,,,,,,,
npt4_priv,NO DATA,NO DATA,NO DATA,,,,,,,,
npt4_prog,NO DATA,NO DATA,NO DATA,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
npt4_other,NO DATA,NO DATA,NO DATA,,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
debt_mdn,,,,,,,,,,,
rpy_7yr_rt,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,,,NO DATA,NO DATA,
md_earn_wne_p6,,,,,,,,,,,
md_earn_wne_p8,NO DATA,,,,,,,,,,
md_earn_wne_p10,NO DATA,NO DATA,,,,,,,,,
gt_threshold_p10,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,,,
c150_l4_pooled_supp,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
c150_4_pooled_supp,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,
